year,occasion,site,food_trt,helm_trt,date,sess,trap,tag,sex,per,nip,preg,test,fate,handler,notes,,,,,,,,,,
2021,2,kuoppa,supplement,control,6/19/2021,3,K4,226043,F,1,0,0,NA,R,SK,,,,,,,,,,,
2021,2,mustikka,control,deworm,6/19/2021,3,D4,226007,F,1,1,0,NA,R,JM,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/18/2021,2,I4,226020,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,3,D1,226009,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,3,H4,226020,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,3,K3,226092,F,1,0,0,NA,R,SC,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,3,D3,226027,F,0,0,0,NA,R,LF,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,4,K3,226092,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,2,ketunpesa,control,deworm,6/19/2021,4,J2,226078,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,2,helmipollo,control,control,6/21/2021,2,A1,226094,M,NA,NA,NA,1,R,JM,wiggly,,,,,,,,,,
2021,2,helmipollo,control,control,6/21/2021,2,D3,226041,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,2,helmipollo,control,control,6/21/2021,2,F4,226099,F,1,0,0,NA,R,JM,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,E2,226094,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,H3,226099,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,K2,226080,F,1,0,0,NA,R,JV,multicap,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,K2,226038,M,NA,NA,NA,1,R,JM,"multicap, given control deworm",,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,B2,226036,M,NA,NA,NA,1,R,JM,2nd FE collected,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,C1,226075,F,1,0,0,NA,R,JV,FR and FE collected,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,C4,226041,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,A2,226079,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,3,A4,226054,not noted,not noted,not noted,not noted,not noted,AR,SK,door not latched,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,F4,226099,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,G3,226036,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,D3,226041,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,D5,226054,not noted,not noted,not noted,not noted,not noted,R,SK,fresh FR collected,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,C2,226094,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,B3,226053,M,NA,NA,NA,1,R,MG,FE collected,,,,,,,,,,
2021,2,helmipollo,control,control,6/22/2021,4,K2,226080,not noted,not noted,not noted,not noted,not noted,R,JV,FE collected,,,,,,,,,,
2021,2,puro,supplement,deworm,6/21/2021,2,A3,226060,F,1,1,0,NA,R,SK,,,,,,,,,,,
2021,2,puro,supplement,deworm,6/21/2021,2,H2,226070,F,1,0,0,NA,R,SK,,,,,,,,,,,
2021,2,puro,supplement,deworm,6/22/2021,3,E1,226004,M,NA,NA,NA,1,R,SK,in bad shape from day before,,,,,,,,,,
2021,2,vaarinkorpi,supplement,control,6/22/2021,3,I6,226049,F,1,0,0,NA,R,JV,,,,,,,,,,,
2021,2,vaarinkorpi,supplement,control,6/22/2021,4,E2,226039,M,NA,NA,NA,1,R,JV,FE collected - small amount,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,3,K1,219947,F,1,0,0,NA,R,SC,,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,3,B4,219973,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,A2,226032,M,NA,NA,NA,1,R,JV,FE 0127-2 collected 7/12,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,K3,219982,M,NA,NA,NA,1,R,JV,multicap,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,K3,219975,F,1,1,1,NA,R,JV,multicap,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,K5,219998,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,I3,226047,F,1,1,0,NA,R,JV,,,,,,,,,,,
2021,3,janakkala,supplement,deworm,7/12/2021,4,K1,219947,not noted,not noted,not noted,not noted,not noted,R,JV,multicap,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,3,C3,219946,F,1,1,0,NA,R,SC,caught with 2 dead shrews,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,3,J1,219964,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,J1,219964,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,F5,226011,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,D2,226045,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,K2,226071,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,C3,219994,M,NA,NA,NA,1,R,JV,FR 0132 collected fresh,,,,,,,,,,
2021,3,radio,supplement,control,7/12/2021,4,A4,219946,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,hevonen,control,control,7/11/2021,2,J4,219936,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,3,hevonen,control,control,7/11/2021,2,I6,219965,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,D5,219934,F,1,0,0,NA,R,SC,"multicap, neonates, FE collected",,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,D5,219949,M,NA,NA,NA,1,R,SC,"multicap, neonates",,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,J4,219936,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,I6,219965,not noted,not noted,not noted,not noted,not noted,R,SC,FR collected fresh,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,J2,226016,F,1,1,0,NA,R,SC,FE collected,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,3,I6,219991,M,NA,NA,NA,0,R,JM,FE collected,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,A6,219934,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,G6,219965,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,G4,219949,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,H1,226016,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,J1,219921,M,NA,NA,NA,1,R,JV,FE 0137-2 collected,,,,,,,,,,
2021,3,hevonen,control,control,7/12/2021,4,K3,219936,not noted,not noted,not noted,not noted,not noted,R,JV,multicap,,,,,,,,,,
2021,3,kiirastuli,control,deworm,7/14/2021,2,I3,226064,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,kiirastuli,control,deworm,7/15/2021,3,E3,226064,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,kiirastuli,control,deworm,7/15/2021,3,E2,226044,M,NA,NA,NA,1,R,JV,FR collected fresh,,,,,,,,,,
2021,3,kiirastuli,control,deworm,7/15/2021,4,I4,226044,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,kiirastuli,control,deworm,7/15/2021,4,H3,226064,not noted,not noted,not noted,not noted,not noted,DT,SK,body saved,,,,,,,,,,
2021,3,talo,supplement,deworm,7/14/2021,2,H1,219846,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,3,A6,226031,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,3,H4,219823,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,3,E5,219846,M,NA,NA,NA,1,R,JV,test,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,3,D1,219889,F,1,1,0,NA,R,SK,starting nipples not enlarged,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,3,E4,226085,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,F1,219838,not noted,not noted,not noted,not noted,not noted,R,SK,gave birth to 6 pups in trap,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,C4,219889,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,F4,226051,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,E5,219823,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,E4,219846,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,talo,supplement,deworm,7/15/2021,4,A6,226000,M,NA,NA,NA,1,R,SC,FE collected,,,,,,,,,,
2021,3,asema,control,control,7/14/2021,2,E1,226001,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,3,K4,226033,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,3,C1,226001,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,3,G4,219822,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,3,E2,226056,F,1,1,0,NA,R,SC,FR collected fresh,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,H4,219862,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,G1,226056,not noted,not noted,not noted,not noted,not noted,R,MG,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,C1,226001,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,A6,219813,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,K4,226158,M,NA,NA,NA,0,R,SC,FE collected,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,K2,219876,M,NA,NA,NA,0,R,SC,FE collected,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,J4,226033,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,K6,226169,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,K3,219890,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,asema,control,control,7/15/2021,4,C2,226023,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,3,mustikka,control,deworm,7/19/2021,3,C5,226007,F,1,1,1,NA,R,SK,,,,,,,,,,,
2021,3,kuoppa,supplement,control,7/18/2021,2,K2,219850,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,3,kuoppa,supplement,control,7/19/2021,3,K2,219850,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,kuoppa,supplement,control,7/19/2021,4,D2,226037,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,3,kuoppa,supplement,control,7/19/2021,4,K3,219850,not noted,not noted,not noted,not noted,not noted,R,JV,,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/18/2021,2,H4,226020,F,1,1,1,NA,R,JM,"multicap, nursing 2 young",,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/18/2021,2,I4,219800,M,NA,NA,NA,0,R,JM,multicap,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,3,F3,226020,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,3,H4,219800,not noted,not noted,not noted,not noted,not noted,R,SK,multicap,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,3,I5,219821,M,NA,NA,NA,0,R,SK,,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,3,H4,219817,M,NA,NA,NA,0,R,JM,multicap,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,4,J4,219976,F,0,0,0,NA,R,JM,"multicap, more FE collected",,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,4,J4,219800,not noted,not noted,not noted,not noted,not noted,R,JM,multicap,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,4,G3,226020,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,4,B3,219912,F,1,1,0,NA,R,JM,FR collected fresh,,,,,,,,,,
2021,3,ketunpesa,control,deworm,7/19/2021,4,A1,219950,F,1,1,0,NA,R,JM,starting nipples,,,,,,,,,,
2021,3,helmipollo,control,control,7/21/2021,2,K1,226080,F,1,1,0,NA,R,JM,,,,,,,,,,,
2021,3,helmipollo,control,control,7/21/2021,2,B2,226094,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,3,helmipollo,control,control,7/21/2021,2,F3,226099,F,1,1,0,NA,R,JM,,,,,,,,,,,
2021,3,helmipollo,control,control,7/21/2021,2,G4,226127,M,NA,NA,NA,0,R,JM,more FE collected,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,K1,226080,not noted,not noted,not noted,not noted,not noted,R,MC,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,J2,226094,not noted,not noted,not noted,not noted,not noted,R,MC,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,G6,226099,not noted,not noted,not noted,not noted,not noted,R,LF,multicap with dead shrew,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,G4,226036,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,D4,226041,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,E5,226053,M,NA,NA,NA,1,R,SK,FE 0256-2 collected,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,3,B1,226075,F,1,1,1,NA,R,SK,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,4,D4,226054,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,4,A6,226079,M,NA,NA,NA,1,R,JM,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,4,G4,226127,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,4,G6,226099,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,helmipollo,control,control,7/22/2021,4,H3,219969,M,NA,NA,NA,0,R,JM,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,2,I5,226119,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,2,H4,226049,F,1,1,0,NA,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,2,E5,219837,M,NA,NA,NA,0,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,2,F5,226141,F,1,1,1,0,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,2,G2,226087,F,1,0,0,NA,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/21/2021,3,D5,226837,not noted,not noted,not noted,not noted,not noted,R,JM,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,D4,226124,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,I5,226119,F,1,1,1,NA,R,JV,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,F2,226087,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,F5,226141,not noted,not noted,not noted,not noted,not noted,R,LF,multicap with new,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,G5,226049,not noted,not noted,not noted,not noted,not noted,R,LF,multicap with new,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,A5,226095,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,A1,226090,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,B1,226126,M,NA,NA,NA,0,R,JM,"multicap with new, FR collected fresh",,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,B5,219880,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,C1,219872,F,1,1,0,NA,R,SC,"multicap with new, FR collected fresh",,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,C5,219806,F,1,0,0,NA,R,SC,"starting per, FE collected",,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,3,A2,219867,F,0,0,0,NA,R,JM,"multicap with new, FR collected fresh",,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,I5,226119,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,E1,226139,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,E6,226161,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,D5,219837,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,F5,226141,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,F4,226049,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,F2,226087,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,D4,226124,not noted,not noted,not noted,not noted,not noted,R,SC,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,B5,219880,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,A5,226095,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,C1,219872,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,C5,219806,not noted,not noted,not noted,not noted,not noted,R,SK,,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,A1,226171,F,1,0,0,NA,R,SK,"multicap with new, FR 0263 collected",,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,C6,219808,M,NA,NA,NA,0,R,SK,FR 0243-2 collected small,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,A2,226122,F,0,0,0,NA,R,JM,FE 0268-2 collected,,,,,,,,,,
2021,3,vaarinkorpi,supplement,control,7/22/2021,4,B2,219920,M,NA,NA,NA,0,R,SK,FE 0270-2 collected,,,,,,,,,,
2021,3,puro,supplement,deworm,7/21/2021,2,F3,226105,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/21/2021,2,I3,219815,M,NA,NA,NA,1,R,SK,FE collected,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,3,I6,219907,F,1,0,0,NA,R,JV,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,3,J3,219819,M,NA,NA,NA,1,R,JV,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,3,F4,226105,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,3,G1,219815,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,3,D1,219958,M,NA,NA,NA,1,R,SK,"multicap, FR 0254-2 collected, FE 0254-2 collected",,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,4,H2,226153,F,1,1,1,NA,R,SK,"starting nip, FR 0251-2 collected, FE 0251-2 collected",,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,4,I6,219907,not noted,not noted,not noted,not noted,not noted,R,LF,,,,,,,,,,,
2021,3,puro,supplement,deworm,7/22/2021,4,E3,219971,M,NA,NA,NA,1,R,SK,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/9/2021,2,J2,219982,M,NA,NA,NA,1,R,SC,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/9/2021,2,B2,219909,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,K1,219947,not noted,not noted,not noted,not noted,not noted,R,BN,written as WR release animal on scanner,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,E1,219729,M,NA,NA,NA,0,R,SC,multicap with new; FE 0333-2 collected,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,E6,226062,F,1,1,1,NA,R,SC,multicap with new,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,A5,219761,M,NA,NA,NA,0,R,SC,multicap with new,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,J2,219975,F,1,1,0,NA,R,SC,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,B1,219798,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,B2,219909,F,1,1,1,NA,R,SC,,,,,,,,,,,
2021,4,janakkala,supplement,deworm,8/10/2021,3,H1,226154,M,NA,NA,NA,0,R,SC,,,,,,,,,,,
